year,city,projected_revenue_cr,penetration_pct
2024,Delhi,734.62,0.8
2024,Bangalore,385.24,0.8
2024,Mumbai,607.32,0.8
2024,Chennai,281.4,0.8
2024,Kolkata,325.29,0.8
2024,Hyderabad,254.12,0.8
2024,Ahmedabad,175.08,0.8
2024,Pune,215.42,0.8
2024,Surat,106.17,0.8
2024,Jaipur,64.75,0.8
2025,Delhi,1847.64,1.8
2025,Bangalore,968.38,1.8
2025,Mumbai,1528.22,1.8
2025,Chennai,708.72,1.8
2025,Kolkata,820.02,1.8
2025,Hyderabad,639.52,1.8
2025,Ahmedabad,440.92,1.8
2025,Pune,541.62,1.8
2025,Surat,267.36,1.8
2025,Jaipur,163.11,1.8
2026,Delhi,3441.81,3.0
2026,Bangalore,1802.92,3.0
2026,Mumbai,2848.18,3.0
2026,Chennai,1321.97,3.0
2026,Kolkata,1531.0,3.0
2026,Hyderabad,1191.98,3.0
2026,Ahmedabad,822.4,3.0
2026,Pune,1008.59,3.0
2026,Surat,498.64,3.0
2026,Jaipur,304.31,3.0
2027,Delhi,5769.6,4.5
2027,Bangalore,3020.67,4.5
2027,Mumbai,4776.76,4.5
2027,Chennai,2218.96,4.5
2027,Kolkata,2572.11,4.5
2027,Hyderabad,1999.27,4.5
2027,Ahmedabad,1380.33,4.5
2027,Pune,1690.17,4.5
2027,Surat,836.88,4.5
2027,Jaipur,510.89,4.5
2028,Delhi,8882.63,6.2
2028,Bangalore,4648.07,6.2
2028,Mumbai,7357.53,6.2
2028,Chennai,3420.59,6.2
2028,Kolkata,3968.43,6.2
2028,Hyderabad,3079.68,6.2
2028,Ahmedabad,2127.7,6.2
2028,Pune,2601.27,6.2
2028,Surat,1289.9,6.2
2028,Jaipur,787.7,6.2
